,energy_density,magnetization_density,h
0,-4.0,1.0,0.7908132073066554
1,-4.0,1.0,0.7908132073066554
2,-3.928888888888889,0.9911111111111112,0.7908132073066554
3,-4.0,1.0,0.7908132073066554
4,-4.0,1.0,0.7908132073066554
5,-0.3377777777777778,-0.06666666666666667,0.07027635540275758
6,0.05333333333333334,0.022222222222222223,0.07027635540275758
7,-0.05333333333333334,0.057777777777777775,0.07027635540275758
8,-0.05333333333333334,0.0044444444444444444,0.07027635540275758
9,-0.26666666666666666,-0.013333333333333334,0.07027635540275758
10,-1.511111111111111,-0.18222222222222223,0.3339118111241411
11,-1.76,0.12,0.3339118111241411
12,-1.6533333333333333,-0.03111111111111111,0.3339118111241411
13,-2.2933333333333334,0.5022222222222222,0.3339118111241411
14,-1.3333333333333333,0.12,0.3339118111241411
15,-4.0,1.0,1.175838649096598
16,-4.0,1.0,1.175838649096598
17,-4.0,1.0,1.175838649096598
18,-3.928888888888889,0.9911111111111112,1.175838649096598
19,-4.0,1.0,1.175838649096598
20,-1.6533333333333333,-0.09333333333333334,0.40416884354303956
21,-1.7955555555555556,0.25333333333333335,0.40416884354303956
22,-2.72,-0.7422222222222222,0.40416884354303956
23,-2.4,-0.48444444444444446,0.40416884354303956
24,-2.4355555555555557,-0.23555555555555555,0.40416884354303956
25,-1.3333333333333333,0.16444444444444445,0.3206360413101827
26,-1.9022222222222223,0.36,0.3206360413101827
27,-1.8666666666666667,0.25333333333333335,0.3206360413101827
28,-1.3688888888888888,0.0044444444444444444,0.3206360413101827
29,-1.7955555555555556,0.3244444444444444,0.3206360413101827
30,-3.502222222222222,-0.8933333333333333,0.47974827027469524
31,-3.8577777777777778,-0.9822222222222222,0.47974827027469524
32,-3.5733333333333333,-0.8666666666666667,0.47974827027469524
33,-3.04,-0.8311111111111111,0.47974827027469524
34,-3.928888888888889,-0.9911111111111112,0.47974827027469524
35,-4.0,-1.0,0.8665090387905152
36,-4.0,-1.0,0.8665090387905152
37,-3.928888888888889,-0.9911111111111112,0.8665090387905152
38,-3.928888888888889,-0.9911111111111112,0.8665090387905152
39,-4.0,-1.0,0.8665090387905152
40,-4.0,-1.0,1.1999172522074064
41,-4.0,-1.0,1.1999172522074064
42,-4.0,-1.0,1.1999172522074064
43,-4.0,-1.0,1.1999172522074064
44,-4.0,-1.0,1.1999172522074064
45,-4.0,-1.0,1.1361474985562747
46,-4.0,-1.0,1.1361474985562747
47,-4.0,-1.0,1.1361474985562747
48,-4.0,-1.0,1.1361474985562747
49,-4.0,-1.0,1.1361474985562747
50,-4.0,-1.0,0.9152554768729613
51,-4.0,-1.0,0.9152554768729613
52,-4.0,-1.0,0.9152554768729613
53,-4.0,-1.0,0.9152554768729613
54,-4.0,-1.0,0.9152554768729613
55,-3.7866666666666666,-0.9733333333333334,0.591865383234903
56,-3.7866666666666666,-0.9733333333333334,0.591865383234903
57,-3.7866666666666666,-0.9733333333333334,0.591865383234903
58,-3.8577777777777778,-0.9822222222222222,0.591865383234903
59,-4.0,-1.0,0.591865383234903
60,-4.0,-1.0,0.8240285177083043
61,-3.928888888888889,-0.9911111111111112,0.8240285177083043
62,-4.0,-1.0,0.8240285177083043
63,-4.0,-1.0,0.8240285177083043
64,-4.0,-1.0,0.8240285177083043
65,-4.0,-1.0,0.7136132967631412
66,-3.928888888888889,-0.9911111111111112,0.7136132967631412
67,-3.928888888888889,-0.9911111111111112,0.7136132967631412
68,-3.928888888888889,-0.9911111111111112,0.7136132967631412
69,-3.928888888888889,-0.9911111111111112,0.7136132967631412
70,-0.48,0.0044444444444444444,0.10840472936300487
71,-0.3022222222222222,-0.0044444444444444444,0.10840472936300487
72,0.017777777777777778,-0.022222222222222223,0.10840472936300487
73,-0.5511111111111111,0.057777777777777775,0.10840472936300487
74,-0.5155555555555555,-0.0044444444444444444,0.10840472936300487
75,-4.0,-1.0,0.8488878855425203
76,-4.0,-1.0,0.8488878855425203
77,-3.928888888888889,-0.9911111111111112,0.8488878855425203
78,-4.0,-1.0,0.8488878855425203
79,-4.0,-1.0,0.8488878855425203
80,-4.0,-1.0,1.1035625720273057
81,-4.0,-1.0,1.1035625720273057
82,-3.928888888888889,-0.9911111111111112,1.1035625720273057
83,-4.0,-1.0,1.1035625720273057
84,-4.0,-1.0,1.1035625720273057
85,-4.0,-1.0,1.0712121304687137
86,-4.0,-1.0,1.0712121304687137
87,-4.0,-1.0,1.0712121304687137
88,-4.0,-1.0,1.0712121304687137
89,-4.0,-1.0,1.0712121304687137
90,-4.0,-1.0,0.6547656294952355
91,-4.0,-1.0,0.6547656294952355
92,-4.0,-1.0,0.6547656294952355
93,-3.928888888888889,-0.9911111111111112,0.6547656294952355
94,-3.8933333333333335,-0.9822222222222222,0.6547656294952355
95,-0.48,0.03111111111111111,0.08481335115864276
96,-0.5155555555555555,-0.022222222222222223,0.08481335115864276
97,-0.19555555555555557,0.022222222222222223,0.08481335115864276
98,-0.3377777777777778,-0.0044444444444444444,0.08481335115864276
99,-0.37333333333333335,0.0044444444444444444,0.08481335115864276
100,-4.0,1.0,1.1363901055013008
101,-4.0,1.0,1.1363901055013008
102,-4.0,1.0,1.1363901055013008
103,-4.0,1.0,1.1363901055013008
104,-4.0,1.0,1.1363901055013008
105,-3.7155555555555555,0.9555555555555556,0.6094333061873863
106,-3.7866666666666666,0.9733333333333334,0.6094333061873863
107,-3.928888888888889,0.9911111111111112,0.6094333061873863
108,-3.7866666666666666,0.9733333333333334,0.6094333061873863
109,-3.5733333333333333,0.9377777777777778,0.6094333061873863
