,energy_density,magnetization_density,h
0,-4.0,1.0,1.1807555686773765
1,-4.0,1.0,1.1807555686773765
2,-4.0,1.0,1.1807555686773765
3,-4.0,1.0,1.1807555686773765
4,-4.0,1.0,1.1807555686773765
5,-4.0,1.0,0.8702373475706674
6,-4.0,1.0,0.8702373475706674
7,-3.9744,0.9968,0.8702373475706674
8,-4.0,1.0,0.8702373475706674
9,-3.9744,0.9968,0.8702373475706674
10,-0.4416,0.024,0.13280884055370593
11,-0.6336,0.12,0.13280884055370593
12,-0.5056,-0.0496,0.13280884055370593
13,-0.2496,-0.0368,0.13280884055370593
14,-0.544,0.0336,0.13280884055370593
15,-0.2368,0.008,0.07255177338409564
16,-0.2624,-0.0144,0.07255177338409564
17,-0.3776,-0.008,0.07255177338409564
18,-0.2624,0.04,0.07255177338409564
19,-0.3136,-0.0144,0.07255177338409564
20,-3.6544,-0.9456,0.47571630694305794
21,-3.2832,-0.8752,0.47571630694305794
22,-3.3344,-0.8816,0.47571630694305794
23,-3.2448,-0.8752,0.47571630694305794
24,-2.9504,-0.7408,0.47571630694305794
25,-3.0144,-0.808,0.4150257402468234
26,-2.4128,0.1136,0.4150257402468234
27,-2.6816,-0.6512,0.4150257402468234
28,-2.8224,-0.6992,0.4150257402468234
29,-2.4,-0.5808,0.4150257402468234
30,-3.488,-0.9232,0.488611014625669
31,-3.5904,-0.9264,0.488611014625669
32,-3.36,-0.904,0.488611014625669
33,-3.6416,-0.9456,0.488611014625669
34,-3.4624,-0.9168,0.488611014625669
35,-3.4496,-0.904,0.4875648522738022
36,-3.2832,-0.8752,0.4875648522738022
37,-3.5008,-0.8848,0.4875648522738022
38,-3.3984,-0.8848,0.4875648522738022
39,-3.4368,-0.8976,0.4875648522738022
40,-3.9232,-0.9904,0.6695353492592756
41,-3.9488,-0.9936,0.6695353492592756
42,-3.8976,-0.9872,0.6695353492592756
43,-3.9232,-0.9904,0.6695353492592756
44,-3.8976,-0.9872,0.6695353492592756
45,-1.1456,-0.0112,0.2610081180691333
46,-1.2736,0.0752,0.2610081180691333
47,-1.2352,0.1168,0.2610081180691333
48,-1.0816,-0.072,0.2610081180691333
49,-1.3632,-0.0208,0.2610081180691333
50,-1.4784,0.1488,0.29076077896009955
51,-1.4656,0.0112,0.29076077896009955
52,-1.44,-0.104,0.29076077896009955
53,-1.504,-0.2064,0.29076077896009955
54,-1.2992,0.0464,0.29076077896009955
55,-3.0656,0.7472,0.46442631573947474
56,-3.232,0.8784,0.46442631573947474
57,-3.1424,0.8048,0.46442631573947474
58,-3.0912,0.7664,0.46442631573947474
59,-3.296,0.8688,0.46442631573947474
60,-0.4672,0.0048,0.09491856647994487
61,-0.736,-0.0688,0.09491856647994487
62,-0.3392,-0.0464,0.09491856647994487
63,-0.1856,-0.056,0.09491856647994487
64,-0.2752,-0.0368,0.09491856647994487
65,-4.0,1.0,1.1780890222796554
66,-4.0,1.0,1.1780890222796554
67,-4.0,1.0,1.1780890222796554
68,-4.0,1.0,1.1780890222796554
69,-4.0,1.0,1.1780890222796554
70,-0.1728,-0.0528,0.06654196848811957
71,-0.3776,-0.0208,0.06654196848811957
72,-0.3264,0.0496,0.06654196848811957
73,-0.2368,0.0048,0.06654196848811957
74,-0.2368,0.0368,0.06654196848811957
75,-4.0,1.0,1.0893005393331068
76,-3.9744,0.9968,1.0893005393331068
77,-4.0,1.0,1.0893005393331068
78,-4.0,1.0,1.0893005393331068
79,-4.0,1.0,1.0893005393331068
80,-4.0,1.0,1.1217171396967667
81,-3.9744,0.9968,1.1217171396967667
82,-4.0,1.0,1.1217171396967667
83,-4.0,1.0,1.1217171396967667
84,-4.0,1.0,1.1217171396967667
85,-1.376,-0.0336,0.2773170644745446
86,-1.1072,-0.0528,0.2773170644745446
87,-1.1968,0.12,0.2773170644745446
88,-1.4016,0.0592,0.2773170644745446
89,-1.4784,0.0112,0.2773170644745446
90,-4.0,-1.0,0.7674291935776936
91,-3.9744,-0.9968,0.7674291935776936
92,-4.0,-1.0,0.7674291935776936
93,-3.9744,-0.9968,0.7674291935776936
94,-4.0,-1.0,0.7674291935776936
95,-3.8848,-0.9808,0.5750251211748285
96,-3.8848,-0.984,0.5750251211748285
97,-3.7952,-0.968,0.5750251211748285
98,-3.8592,-0.9808,0.5750251211748285
99,-3.8464,-0.9776,0.5750251211748285
100,-4.0,-1.0,1.0593837417672176
101,-4.0,-1.0,1.0593837417672176
102,-4.0,-1.0,1.0593837417672176
103,-4.0,-1.0,1.0593837417672176
104,-4.0,-1.0,1.0593837417672176
105,-3.9232,-0.9904,0.6257481648343356
106,-3.8464,-0.9808,0.6257481648343356
107,-3.7952,-0.9712,0.6257481648343356
108,-3.8592,-0.9808,0.6257481648343356
109,-3.9488,-0.9936,0.6257481648343356
110,-4.0,-1.0,0.9963910944375557
111,-4.0,-1.0,0.9963910944375557
112,-4.0,-1.0,0.9963910944375557
113,-4.0,-1.0,0.9963910944375557
114,-4.0,-1.0,0.9963910944375557
115,-3.7056,-0.9584,0.5443265308349418
116,-3.5008,-0.9232,0.5443265308349418
117,-3.6928,-0.9552,0.5443265308349418
118,-3.7312,-0.9648,0.5443265308349418
119,-3.8208,-0.9712,0.5443265308349418
120,-3.6416,-0.9296,0.5826543288572654
121,-3.8464,-0.9808,0.5826543288572654
122,-3.6544,-0.9328,0.5826543288572654
123,-3.8464,-0.9744,0.5826543288572654
124,-3.8208,-0.968,0.5826543288572654
125,-1.5296,0.1168,0.3193729413906852
126,-1.3632,-0.0624,0.3193729413906852
127,-1.5168,-0.072,0.3193729413906852
128,-1.5808,0.2192,0.3193729413906852
129,-1.4784,0.056,0.3193729413906852
130,-4.0,1.0,0.9583546456867067
131,-4.0,1.0,0.9583546456867067
132,-4.0,1.0,0.9583546456867067
133,-4.0,1.0,0.9583546456867067
134,-4.0,1.0,0.9583546456867067
135,-3.3856,0.8368,0.4859950687950005
136,-3.4624,0.9232,0.4859950687950005
137,-3.1296,0.84,0.4859950687950005
138,-3.5392,0.9296,0.4859950687950005
139,-3.3344,0.8848,0.4859950687950005
140,-3.8464,0.9808,0.6151938043684263
141,-3.8976,0.9872,0.6151938043684263
142,-3.8464,0.9744,0.6151938043684263
143,-3.8464,0.9808,0.6151938043684263
144,-3.7056,0.9584,0.6151938043684263
145,-3.4112,0.8912,0.48229423893347256
146,-3.4752,0.9072,0.48229423893347256
147,-3.2576,0.8784,0.48229423893347256
148,-3.3088,0.872,0.48229423893347256
149,-3.5008,0.92,0.48229423893347256
150,-4.0,1.0,1.0502703295961537
151,-4.0,1.0,1.0502703295961537
152,-4.0,1.0,1.0502703295961537
153,-4.0,1.0,1.0502703295961537
154,-4.0,1.0,1.0502703295961537
155,-3.8976,0.9872,0.6761408573651856
156,-3.9488,0.9936,0.6761408573651856
157,-3.9744,0.9968,0.6761408573651856
158,-3.9488,0.9936,0.6761408573651856
159,-3.936,0.9904,0.6761408573651856
160,-4.0,1.0,1.0487971572482815
161,-4.0,1.0,1.0487971572482815
162,-4.0,1.0,1.0487971572482815
163,-4.0,1.0,1.0487971572482815
164,-4.0,1.0,1.0487971572482815
165,-3.808,0.9712,0.635956159877046
166,-3.7696,0.968,0.635956159877046
167,-3.9616,0.9936,0.635956159877046
168,-3.9744,0.9968,0.635956159877046
169,-3.8464,0.9808,0.635956159877046
170,-1.4912,0.0144,0.33137827629192557
171,-2.1056,0.1616,0.33137827629192557
172,-1.5168,-0.0784,0.33137827629192557
173,-1.4528,0.2768,0.33137827629192557
174,-1.6448,-0.136,0.33137827629192557
175,-2.1056,-0.1136,0.3725310520424543
176,-1.8624,-0.12,0.3725310520424543
177,-1.8368,0.0624,0.3725310520424543
178,-2.1568,0.0432,0.3725310520424543
179,-2.08,0.0208,0.3725310520424543
180,-3.9744,0.9968,0.8642701200541778
181,-4.0,1.0,0.8642701200541778
182,-3.9744,0.9968,0.8642701200541778
183,-3.9744,0.9968,0.8642701200541778
184,-3.9488,0.9936,0.8642701200541778
185,-4.0,1.0,0.9733235386765641
186,-4.0,1.0,0.9733235386765641
187,-4.0,1.0,0.9733235386765641
188,-3.9744,0.9968,0.9733235386765641
189,-3.9744,0.9968,0.9733235386765641
190,-2.3744,-0.2992,0.4067784711603167
191,-2.208,-0.1712,0.4067784711603167
192,-2.528,-0.6352,0.4067784711603167
193,-2.3616,-0.552,0.4067784711603167
194,-2.5792,-0.3856,0.4067784711603167
195,-4.0,-1.0,1.0534702909793918
196,-4.0,-1.0,1.0534702909793918
197,-3.9744,-0.9968,1.0534702909793918
198,-3.9744,-0.9968,1.0534702909793918
199,-4.0,-1.0,1.0534702909793918
200,-3.9744,-0.9968,0.7264049880248641
201,-3.9104,-0.9872,0.7264049880248641
202,-3.9744,-0.9968,0.7264049880248641
203,-3.9488,-0.9936,0.7264049880248641
204,-3.9104,-0.9872,0.7264049880248641
205,-1.5808,-0.152,0.3521376535092689
206,-1.7088,0.184,0.3521376535092689
207,-2.0288,0.0784,0.3521376535092689
208,-1.6192,-0.2288,0.3521376535092689
209,-1.6064,0.1424,0.3521376535092689
210,-3.9744,0.9968,0.7468412661112905
211,-3.9488,0.9936,0.7468412661112905
212,-3.8976,0.9872,0.7468412661112905
213,-3.9488,0.9936,0.7468412661112905
214,-3.9104,0.9872,0.7468412661112905
215,-3.9744,0.9968,0.9077413252919844
216,-4.0,1.0,0.9077413252919844
217,-3.9744,0.9968,0.9077413252919844
218,-4.0,1.0,0.9077413252919844
219,-4.0,1.0,0.9077413252919844
220,-4.0,1.0,1.0675885776649099
221,-4.0,1.0,1.0675885776649099
222,-4.0,1.0,1.0675885776649099
223,-4.0,1.0,1.0675885776649099
224,-4.0,1.0,1.0675885776649099
225,-4.0,1.0,1.107474121905228
226,-4.0,1.0,1.107474121905228
227,-4.0,1.0,1.107474121905228
228,-4.0,1.0,1.107474121905228
229,-4.0,1.0,1.107474121905228
230,-1.1072,0.0208,0.2533485790137845
231,-1.1072,-0.0368,0.2533485790137845
232,-1.1584,0.0528,0.2533485790137845
233,-1.1328,-0.0112,0.2533485790137845
234,-1.056,-0.0176,0.2533485790137845
235,-3.6928,0.9552,0.5375547353719704
236,-3.744,0.9616,0.5375547353719704
237,-3.5008,0.9296,0.5375547353719704
238,-3.8208,0.9776,0.5375547353719704
239,-3.6672,0.9488,0.5375547353719704
240,-3.9488,0.9936,0.6581731563763877
241,-3.9488,0.9936,0.6581731563763877
242,-3.9488,0.9936,0.6581731563763877
243,-3.9104,0.9872,0.6581731563763877
244,-3.9104,0.9872,0.6581731563763877
245,-0.224,0.0816,0.11527013621954967
246,-0.48,0.0336,0.11527013621954967
247,-0.5312,0.008,0.11527013621954967
248,-0.6848,-0.0272,0.11527013621954967
249,-0.3648,-0.0048,0.11527013621954967
250,-2.656,-0.4848,0.4221278913560918
251,-2.656,-0.2768,0.4221278913560918
252,-2.6176,-0.6256,0.4221278913560918
253,-2.7584,0.7024,0.4221278913560918
254,-2.9248,0.7728,0.4221278913560918
255,-1.6704,-0.0432,0.3825026347942205
256,-2.2976,0.0336,0.3825026347942205
257,-2.144,0.2288,0.3825026347942205
258,-1.9136,0.1232,0.3825026347942205
259,-2.0544,0.312,0.3825026347942205
260,-1.824,-0.0592,0.3616789648723032
261,-2.0928,0.2992,0.3616789648723032
262,-1.888,0.008,0.3616789648723032
263,-1.9008,0.1424,0.3616789648723032
264,-1.952,0.0112,0.3616789648723032
265,-4.0,1.0,1.129277341276965
266,-4.0,1.0,1.129277341276965
267,-4.0,1.0,1.129277341276965
268,-4.0,1.0,1.129277341276965
269,-3.9744,0.9968,1.129277341276965
270,-0.9408,-0.0592,0.24306202654368833
271,-1.1328,0.0464,0.24306202654368833
272,-1.0304,-0.1168,0.24306202654368833
273,-1.056,-0.0528,0.24306202654368833
274,-0.8768,-0.0304,0.24306202654368833
275,-4.0,-1.0,1.1430044899308502
276,-4.0,-1.0,1.1430044899308502
277,-4.0,-1.0,1.1430044899308502
278,-4.0,-1.0,1.1430044899308502
279,-4.0,-1.0,1.1430044899308502
280,-4.0,-1.0,1.1377311578778022
281,-4.0,-1.0,1.1377311578778022
282,-4.0,-1.0,1.1377311578778022
283,-4.0,-1.0,1.1377311578778022
284,-4.0,-1.0,1.1377311578778022
285,-3.9488,-0.9936,0.6597144607126413
